,I-Count,Label(m0/f1)
224,0,0
225,0,0
226,0,1
227,4,1
228,0,0
229,1,0
230,10,0
231,6,0
232,4,1
233,0,0
234,6,1
235,7,0
236,0,0
237,4,1
238,1,0
239,3,0
240,8,0
241,0,1
242,3,0
243,6,0
244,2,0
245,78,1
246,5,0
247,7,0
248,1,0
249,2,0
250,1,0
251,3,0
252,2,1
253,2,0
254,0,1
255,10,0
256,16,0
257,0,1
258,5,0
259,21,1
260,53,1
261,0,0
262,13,0
263,0,0
264,1,1
265,4,1
266,5,0
267,0,0
268,2,0
269,1,0
270,2,0
271,4,1
272,8,1
273,2,0
274,0,0
275,4,0
276,0,0
277,0,0
278,0,0
279,2,0
280,16,1
281,0,0
282,2,0
283,5,0
284,5,0
285,1,0
286,3,0
287,7,0
288,0,1
289,6,0
290,1,0
291,2,1
292,0,0
293,4,0
294,0,0
295,2,0
296,5,0
297,3,0
298,3,0
299,61,1
300,0,0
301,1,0
302,1,0
303,0,0
304,1,0
305,6,0
306,4,0
307,24,0
308,0,1
309,0,0
310,0,0
311,13,0
312,0,0
313,0,0
314,2,0
315,1,0
316,0,1
317,7,0
318,20,0
319,5,0
320,3,0
321,0,0
322,0,0
323,0,0
324,0,0
325,1,0
326,3,1
327,5,0
328,3,0
329,10,0
330,3,0
331,2,0
332,11,0
333,25,1
334,7,1
335,1,0
336,0,1
337,0,0
338,12,0
339,0,0
340,15,1
341,0,1
342,29,0
343,2,1
344,1,0
345,6,0
346,7,0
347,0,0
348,4,0
349,0,0
350,3,0
351,0,0
352,1,1
353,1,1
354,2,0
355,1,1
356,2,0
357,4,0
358,16,0
359,5,0
360,1,0
361,2,0
362,4,0
363,1,1
364,12,0
365,0,0
366,0,0
367,2,0
368,7,0
369,6,1
370,24,0
371,1,1
372,3,0
373,4,0
374,0,1
375,0,0
376,0,0
377,1,0
378,0,0
379,3,0
380,28,1
381,4,1
382,11,1
383,25,1
384,8,0
385,0,1
386,1,1
387,31,0
388,0,1
389,3,0
390,0,0
391,6,0
