Column1,I-Count,Label(m0/f1),NYT_ID,RandInt
3268,8,1,5a5804d295d0e0110c1a4226,0.000281264
2602,4,0,59e935df95d0e0246f211115,0.000480527
1490,0,0,5945789c95d0e024b587896c,0.000636159
1568,15,1,594cc16795d0e02550996804,0.000824595
4231,1,1,5ae4bdb2068401528a2ab417,0.000937399
2470,3,0,59d5dd7895d0e0246f20e1bf,0.001002549
1348,3,1,592fc07895d0e024b5873fc9,0.001102124
2012,2,0,5995edaa95d0e0246f20043b,0.001415253
4097,4,0,5acdd59e068401528a2a6f6e,0.001689598
4260,3,0,5ae63254068401528a2ab594,0.001941003
2019,0,0,5999e6b595d0e0246f200a5f,0.002092134
2822,4,0,5a045d2b95d0e0246f214dfd,0.002147722
2492,13,0,59dd1ae195d0e0246f20f454,0.0021899
1289,2,0,592732d195d0e024b5872f04,0.002226056
1787,5,0,597399bb95d0e0246f1fbd63,0.002393764
2723,3,0,59f86a7095d0e0246f2131ec,0.002485755
320,4,0,589d780995d0e024746358f2,0.002580957
1922,6,0,5989f69795d0e0246f1feb68,0.002719937
4455,24,0,5b070ba6068401528a2afab5,0.003028404
3138,7,0,5a30a6747c459f246b63a698,0.003120648
2514,6,1,59dfd45a95d0e0246f20fbd4,0.003213279
51,2,0,587347f695d0e03926079a72,0.003810526
2083,1,1,59a0399895d0e0246f201833,0.003840583
4771,3,1,5b2e91ae47de81a90122f461,0.003927508
2674,4,0,59eff2be95d0e0246f211ea7,0.004034605
950,1,1,58f8617795d0e024b586c4e3,0.004141144
2426,8,1,59d48bf495d0e0246f20de62,0.004200166
4268,6,0,5ae9afcd068401528a2abd06,0.004228266
2833,1,0,5a074fc795d0e0246f215473,0.004394942
4152,5,1,5ad5c223068401528a2a915c,0.004683467
4429,1,1,5b006d34068401528a2aecf4,0.004879298
1395,8,1,5938faeb95d0e024b5875eb8,0.005190498
440,5,0,58afed0c95d0e0247463853c,0.005285421
4475,12,0,5b05b9a0068401528a2af69b,0.005562735
4250,1,0,5ae3c5b7068401528a2ab2ed,0.005918511
3755,1,0,5a9892ed410cf7000162ec38,0.006044543
4288,0,0,5aeb934b068401528a2ac2a3,0.006496589
3960,25,0,5abbadf847de81a901218a53,0.006598835
2073,12,1,59a1be4695d0e0246f201ac1,0.007100991
3181,0,0,5a4ebf6e95d0e0110c1a2f2f,0.007200265
536,44,0,58ba104895d0e024902fd793,0.007221734
4230,7,0,5ae2eda0068401528a2ab07d,0.007310962
1579,2,0,5953bbde95d0e0255099765c,0.007493671
1988,11,0,5993f27695d0e0246f1fff1a,0.007666752
3613,0,0,5a875b27410cf7000162c70d,0.007885861
5361,6,1,5b86eb36068401528a2d64d6,0.008037338
1444,2,1,59429c8895d0e024b58782e5,0.008423589
4631,7,0,5b1c1cb147de81a90122ce01,0.008628968
3116,1,1,5a32e1d77c459f246b63b1a4,0.008914519
3604,7,0,5a839d8c410cf7000162bc68,0.008925304
1821,2,1,597842ff95d0e0246f1fc63a,0.009071912
2224,2,0,59b6397995d0e0246f2043e0,0.009247209
3264,3,1,5a5891c995d0e0110c1a4332,0.009582868
2267,1,0,59bc2be695d0e0246f208a5c,0.009714334
3724,7,0,5a93e549410cf7000162dfa0,0.009720028
4924,0,1,5b44feaf00a1bc2872e69ab6,0.009837175
1548,4,0,594eafb795d0e02550996c32,0.009869652
592,3,0,58c4504395d0e024902fedd8,0.009885974
5303,1,0,5b7f0ce6068401528a2d569c,0.01000367
1876,0,0,597eda7795d0e0246f1fd415,0.010090338
272,8,1,58949afb95d0e0392607e77a,0.010544333
1704,0,0,5964d0ea95d0e0246f1f9cc2,0.010828742
4036,1,0,5ac7c875068401528a2a4218,0.010857968
3144,23,0,5a3574487c459f246b63b6d6,0.010985442
2776,8,1,5a00c01795d0e0246f214453,0.011101364
4589,12,0,5b16b3ae47de81a90122c007,0.011235454
2408,8,1,59d2b01b95d0e0246f20da47,0.011272834
5035,12,1,5b56f68a00a1bc2872e7deef,0.01137345
3620,6,0,5a86b647410cf7000162c51e,0.011495328
1369,11,0,593657fa95d0e024b5874d6f,0.011548249
1841,5,0,597ae60b95d0e0246f1fcde2,0.011561481
3230,8,0,5a53cf0895d0e0110c1a3777,0.01174951
3310,4,0,5a607f8595d0e0110c1a52eb,0.011992759
5116,6,0,5b6202d8068401528a2d1ef4,0.012008177
4685,14,0,5b24450047de81a90122e2a2,0.012747263
2982,0,0,5a2062e795d0e0246f2197d8,0.013502857
2235,2,0,59ba2e0795d0e0246f2076e5,0.013812373
302,2,0,589a3d8d95d0e0392607f1b0,0.014019263
1576,1,1,595024b995d0e02550996dce,0.014151083
2565,5,0,59e4812295d0e0246f210400,0.014199165
645,8,1,58cd9ff995d0e02489b91dc9,0.014310711
2716,1,0,59f90a6695d0e0246f2133ec,0.014359258
3681,4,1,5a8e22a7410cf7000162d3ee,0.014404254
3236,10,0,5a52c05395d0e0110c1a3527,0.01444733
2076,9,1,59a0d63f95d0e0246f2019ca,0.014529864
5050,1,0,5b58725100a1bc2872e7e2af,0.014887233
2465,10,1,59d6455895d0e0246f20e310,0.01491709
718,3,0,58d5bed995d0e02489b931f2,0.01496214
5183,6,1,5b6bab00068401528a2d329a,0.015265025
4290,9,0,5aec2ba2068401528a2ac3f0,0.015463618
5078,0,0,5b5bb97600a1bc2872e7eb2e,0.015468897
3186,3,0,5a4e408195d0e0110c1a2d8a,0.015543821
3053,3,0,5a2ab9707c459f246b639a81,0.015644452
2665,3,0,59f1a21995d0e0246f212362,0.015898365
208,2,1,588c141295d0e0392607d479,0.016020863
15,5,1,586e673495d0e03926079233,0.01666082
1739,10,0,596a5e6f95d0e0246f1faa42,0.016975047
4625,23,1,5b1c1cb347de81a90122ce04,0.017184966
3071,1,0,5a291bc97c459f246b6395eb,0.017209239
5231,1,0,5b740864068401528a2d4127,0.017605579
2760,0,0,59fd118195d0e0246f213eb5,0.017764502
