I-Count,Label(m0/f1),NYT_ID
8,1,5a5804d295d0e0110c1a4226
4,0,59e935df95d0e0246f211115
0,0,5945789c95d0e024b587896c
15,1,594cc16795d0e02550996804
1,1,5ae4bdb2068401528a2ab417
3,0,59d5dd7895d0e0246f20e1bf
3,1,592fc07895d0e024b5873fc9
2,0,5995edaa95d0e0246f20043b
4,0,5acdd59e068401528a2a6f6e
3,0,5ae63254068401528a2ab594
0,0,5999e6b595d0e0246f200a5f
4,0,5a045d2b95d0e0246f214dfd
13,0,59dd1ae195d0e0246f20f454
2,0,592732d195d0e024b5872f04
5,0,597399bb95d0e0246f1fbd63
3,0,59f86a7095d0e0246f2131ec
4,0,589d780995d0e024746358f2
6,0,5989f69795d0e0246f1feb68
24,0,5b070ba6068401528a2afab5
7,0,5a30a6747c459f246b63a698
6,1,59dfd45a95d0e0246f20fbd4
2,0,587347f695d0e03926079a72
1,1,59a0399895d0e0246f201833
3,1,5b2e91ae47de81a90122f461
4,0,59eff2be95d0e0246f211ea7
1,1,58f8617795d0e024b586c4e3
8,1,59d48bf495d0e0246f20de62
6,0,5ae9afcd068401528a2abd06
1,0,5a074fc795d0e0246f215473
5,1,5ad5c223068401528a2a915c
1,1,5b006d34068401528a2aecf4
8,1,5938faeb95d0e024b5875eb8
5,0,58afed0c95d0e0247463853c
12,0,5b05b9a0068401528a2af69b
1,0,5ae3c5b7068401528a2ab2ed
1,0,5a9892ed410cf7000162ec38
0,0,5aeb934b068401528a2ac2a3
25,0,5abbadf847de81a901218a53
12,1,59a1be4695d0e0246f201ac1
0,0,5a4ebf6e95d0e0110c1a2f2f
44,0,58ba104895d0e024902fd793
7,0,5ae2eda0068401528a2ab07d
2,0,5953bbde95d0e0255099765c
11,0,5993f27695d0e0246f1fff1a
0,0,5a875b27410cf7000162c70d
6,1,5b86eb36068401528a2d64d6
2,1,59429c8895d0e024b58782e5
7,0,5b1c1cb147de81a90122ce01
1,1,5a32e1d77c459f246b63b1a4
7,0,5a839d8c410cf7000162bc68
2,1,597842ff95d0e0246f1fc63a
2,0,59b6397995d0e0246f2043e0
3,1,5a5891c995d0e0110c1a4332
1,0,59bc2be695d0e0246f208a5c
7,0,5a93e549410cf7000162dfa0
0,1,5b44feaf00a1bc2872e69ab6
4,0,594eafb795d0e02550996c32
3,0,58c4504395d0e024902fedd8
1,0,5b7f0ce6068401528a2d569c
0,0,597eda7795d0e0246f1fd415
8,1,58949afb95d0e0392607e77a
0,0,5964d0ea95d0e0246f1f9cc2
1,0,5ac7c875068401528a2a4218
23,0,5a3574487c459f246b63b6d6
