Column1,I-Count,Label(m0/f1),SortKey
3352,0,0,0.036934142
738,0,1,0.03713144
3819,0,0,0.037313036
1859,21,0,0.037376041
2656,1,0,0.037414239
1119,2,0,0.037527527
4783,3,0,0.037795626
1186,5,0,0.037917248
4108,2,0,0.038012448
5011,0,0,0.03808298
4610,2,0,0.038726832
4581,1,1,0.039275508
3843,0,0,0.039317546
2801,0,0,0.039547581
328,3,0,0.039618991
3583,2,0,0.039635304
1991,22,1,0.039637356
3210,0,1,0.039971648
5295,6,1,0.040187634
3790,0,0,0.040325985
754,0,0,0.040362833
2275,0,0,0.040372753
2605,17,0,0.040653814
4420,6,0,0.041061874
4926,5,0,0.041486201
785,1,1,0.041577701
4604,11,0,0.041668269
3788,2,0,0.041925207
1465,3,1,0.042158872
4709,0,1,0.042345002
1481,0,1,0.042413157
3130,9,1,0.042665222
3070,13,0,0.042697524
2557,2,0,0.04288254
4409,5,1,0.043461968
4988,6,1,0.043732507
3347,0,0,0.044136107
575,0,0,0.044336303
4493,3,0,0.044441879
4319,0,0,0.044857732
4537,7,1,0.044891975
3431,0,0,0.044926846
1726,1,0,0.045349015
4583,0,1,0.045423092
4817,0,0,0.045447625
2642,3,0,0.045489818
4902,1,0,0.045617653
4998,0,0,0.04565135
505,4,0,0.046851317
2632,7,0,0.04692636
4927,0,0,0.046931933
5444,9,1,0.047471958
5312,8,0,0.047660378
4031,0,0,0.047676063
4178,1,0,0.047752155
3522,1,0,0.047759312
427,0,0,0.047759353
5346,1,1,0.047771657
1489,0,0,0.047815542
1288,7,1,0.047855275
138,25,1,0.047936907
4215,5,1,0.048074934
5380,1,1,0.04817753
4143,3,0,0.048707606
4304,14,1,0.049736682
358,16,0,0.049810122
3540,1,0,0.049938332
4461,1,1,0.050185923
2915,0,0,0.050592442
5090,5,0,0.050619284
2492,10,0,0.050729185
4467,1,0,0.050816044
878,0,1,0.051290555
2879,17,1,0.051435619
347,0,0,0.051695931
4635,1,0,0.05175408
1673,0,0,0.051916241
2153,1,1,0.052183063
2453,1,0,0.052204951
606,1,0,0.0522655
949,2,1,0.052350833
2690,0,0,0.052481426
2498,12,0,0.052719711
451,3,0,0.052850724
3977,0,0,0.052910953
378,0,0,0.052934008
5257,2,0,0.05337539
4299,0,0,0.053483723
3499,4,1,0.053747888
3112,0,0,0.053764579
1936,3,0,0.054068833
2234,0,0,0.054710895
2771,2,1,0.054829173
2017,0,1,0.054959622
535,1,0,0.055614115
4349,31,1,0.055634542
3768,12,1,0.055790671
357,4,0,0.055951673
461,14,0,0.056002844
2735,13,0,0.056087862
1378,2,0,0.056249939
3282,8,1,0.056268063
161,3,0,0.056332986
5176,9,0,0.056344692
4490,0,0,0.056630765
5400,16,1,0.057169185
3820,2,1,0.057209894
873,1,0,0.05723937
2578,25,1,0.057249063
2307,2,0,0.057331071
4177,0,0,0.058161691
3974,1,0,0.058166636
3976,4,0,0.058386333
4454,2,0,0.058561786
1573,3,0,0.058686601
3660,0,0,0.05875501
1449,2,0,0.058941288
4607,0,1,0.058950159
3370,4,0,0.058958275
3585,0,0,0.058988514
3515,0,0,0.058990766
371,1,1,0.059219149
2042,0,0,0.05925273
44,7,0,0.059428534
964,7,1,0.059632126
3333,20,0,0.059776939
5301,0,0,0.060070895
374,0,1,0.060273412
2202,1,0,0.060518762
1147,1,0,0.060623661
5123,11,0,0.060756946
686,8,0,0.060932726
1201,0,0,0.061000264
2953,16,0,0.061058441
611,6,0,0.061306825
4476,0,0,0.061404151
5050,1,0,0.061585207
3446,0,0,0.061748156
3682,1,0,0.061905119
533,6,0,0.061907579
3279,5,0,0.061921431
