id,url,word_count,snippet,source,byline,byline_parsed,pub_date,inferred_gender
586b5f0995d0e03926078b6f,https://www.nytimes.com/2017/01/03/opinion/is-trumps-tariff-plan-constitutional.html,851,"He wants to use an executive order, but only the House has the power to create duties on imports....",The New York Times,By REBECCA M. KYSAR,rebecca m. kysar,2017-01-03T08:21:21+0000,female
586b5ef495d0e03926078b68,https://www.nytimes.com/2017/01/03/opinion/the-snapchat-presidency-of-donald-trump.html,805,The next occupant (at least part time) of the White House won’t lead or communicate policy like a normal leader....,The New York Times,By DAVID BROOKS,david brooks,2017-01-03T08:21:02+0000,male
586b10be95d0e03926078b11,https://www.nytimes.com/2017/01/02/opinion/to-stop-trump-democrats-can-learn-from-the-tea-party.html,875,It’s a simple playbook: organize locally and play defense....,The New York Times,"By EZRA LEVIN, LEAH GREENBERG and ANGEL PADILLA","ezra levin, leah greenberg and angel padilla",2017-01-03T02:47:20+0000,multi
586d20de95d0e03926078f1d,https://www.nytimes.com/2017/01/04/opinion/the-jerusalem-first-option.html,1132,Moving the U.S. embassy to Jerusalem might be a terrible idea — or crazy enough to work....,The New York Times,By MARTIN INDYK,martin indyk,2017-01-04T16:20:42+0000,male
586cf9ad95d0e03926078ea7,https://www.nytimes.com/2017/01/04/opinion/lessons-from-a-gop-embarrassment.html,388,"It’s important to remember this ethics fight, because there is reason to expect that even bigger ones are on the way....",The New York Times,By DAVID LEONHARDT,david leonhardt,2017-01-04T13:33:26+0000,male
586cbbd695d0e03926078e11,https://www.nytimes.com/2017/01/04/opinion/brazils-deadly-prison-system.html,1032,A riot on New Year’s Day is just a symptom of a much bigger problem....,The New York Times,By ROBERT MUGGAH and ILONA SZABÓ DE CARVALHO,robert muggah and ilona szabó de carvalho,2017-01-04T09:09:36+0000,multi
586cb07e95d0e03926078df8,https://www.nytimes.com/2017/01/04/opinion/why-republicans-shouldnt-weaken-the-filibuster.html,839,"Democrats restricted the tactic in 2013, when they were the majority. Now Republicans may undermine it more....",The New York Times,By RICHARD A. ARENBERG,richard a. arenberg,2017-01-04T08:21:12+0000,male
586cb07a95d0e03926078df7,https://www.nytimes.com/2017/01/04/opinion/from-hands-to-heads-to-hearts.html,848,Remembering what makes us human is how to show economic value in the age of smarter and smarter machines....,The New York Times,By THOMAS L. FRIEDMAN,thomas l. friedman,2017-01-04T08:21:11+0000,male
586cb07595d0e03926078df6,https://www.nytimes.com/2017/01/04/opinion/a-bipartisan-reason-to-save-obamacare.html,1592,The law is leading a health care transformation even Republicans like....,The New York Times,By TINA ROSENBERG,tina rosenberg,2017-01-04T08:21:03+0000,female
586cb07295d0e03926078df4,https://www.nytimes.com/2017/01/04/opinion/why-vera-rubin-deserved-a-nobel.html,940,"And why, despite discovering dark matter, she didn’t win one....",The New York Times,By LISA RANDALL,lisa randall,2017-01-04T08:21:02+0000,female
586e6d8e95d0e0392607924d,https://www.nytimes.com/2017/01/05/opinion/the-end-of-the-world-in-brazil-its-already-here.html,857,An unelected president is pushing through a sweeping austerity agenda that will affect a generation....,The New York Times,By VANESSA BARBARA,vanessa barbara,2017-01-05T16:00:08+0000,female
586e673495d0e03926079233,https://www.nytimes.com/2017/01/05/opinion/sunday/what-the-chief-justice-should-have-said.html,1305,"In his year-end review, John G. Roberts Jr. should have warned against blocking Supreme Court nominations for partisan advantage....",The New York Times,By LINDA GREENHOUSE,linda greenhouse,2017-01-05T15:33:04+0000,female
586e4c3f95d0e039260791e4,https://www.nytimes.com/2017/01/05/opinion/the-complex-mess-of-health-insurance.html,407,A lot of Americans are deeply frustrated by the logistical headaches built into our health care system....,The New York Times,By DAVID LEONHARDT,david leonhardt,2017-01-05T13:37:33+0000,male
586e3f3e95d0e039260791bc,https://www.nytimes.com/2017/01/05/opinion/greece-turkey-and-the-alexandroupolis-eight.html,1324,Turkey’s demand that Greece extradite eight military officers who fled after the attempted coup in July has put the two countries at odds again....,The New York Times,By NIKOS KONSTANDARAS,nikos konstandaras,2017-01-05T12:42:26+0000,male
586e020895d0e03926079120,https://www.nytimes.com/2017/01/05/opinion/the-health-care-plan-trump-voters-really-want.html,874,The push to replace Obamacare does not reflect the desires of working-class voters. They want practical solutions to their health care problems....,The New York Times,By DREW ALTMAN,drew altman,2017-01-05T08:21:23+0000,male
586e020b95d0e03926079121,https://www.nytimes.com/2017/01/05/opinion/reality-politics-starring-donald-trump.html,812,It’s here and it can’t be canceled for four years....,The New York Times,By GAIL COLLINS,gail collins,2017-01-05T08:21:22+0000,female
586e01fe95d0e0392607911f,https://www.nytimes.com/2017/01/05/opinion/why-rural-america-voted-for-trump.html,1419,People in red counties resent the attention cities get — and don’t care for liberals....,The New York Times,By ROBERT LEONARD,robert leonard,2017-01-05T08:21:13+0000,male
586e01fc95d0e0392607911c,https://www.nytimes.com/2017/01/05/opinion/the-gop-health-care-hoax.html,801,Republicans plan to replace Obamacare with TBD....,The New York Times,By NICHOLAS KRISTOF,nicholas kristof,2017-01-05T08:21:11+0000,male
586e01fd95d0e0392607911d,https://www.nytimes.com/2017/01/05/opinion/what-does-my-party-want.html,2285,"As allegiances shift, neither Republicans nor Democrats are really sure....",The New York Times,By THOMAS B. EDSALL,thomas b. edsall,2017-01-05T08:21:04+0000,male
586e01f895d0e0392607911a,https://www.nytimes.com/2017/01/05/opinion/the-anti-inauguration.html,1139,Augment your outrage with actions that are affirming....,The New York Times,By CHARLES M. BLOW,charles m. blow,2017-01-05T08:21:02+0000,male
586ffe9395d0e0392607967d,https://www.nytimes.com/2017/01/06/opinion/sunday/text-your-way-to-college.html,944,"Too many students from poor families get accepted to college, but never show up. This is a low-cost solution....",The New York Times,By DAVID L. KIRP,david l. kirp,2017-01-06T20:31:10+0000,male
586ff30b95d0e0392607965d,https://www.nytimes.com/2017/01/06/opinion/trumps-dangerous-anti-cia-crusade.html,878,His attacks on the agency aren’t just bad for the agency. They threaten our national security....,The New York Times,By MICHAEL J. MORELL,michael j. morell,2017-01-06T19:41:59+0000,male
586fcff795d0e039260795f4,https://www.nytimes.com/2017/01/06/opinion/sunday/why-trump-cant-disengage-america-from-the-world.html,1420,Its geography has given the United States balancing strains of isolationism and internationalism. Donald J. Trump can do only so much to change that....,The New York Times,By ROBERT D. KAPLAN,robert d. kaplan,2017-01-06T17:12:15+0000,male
586fcf2495d0e039260795f1,https://www.nytimes.com/2017/01/06/opinion/sunday/rumors-of-hillary-clintons-comeback.html,1122,Donald Trump only thought he got rid of her....,The New York Times,By FRANK BRUNI,frank bruni,2017-01-06T17:08:46+0000,male
586fc07795d0e039260795b0,https://www.nytimes.com/2017/01/06/opinion/can-bal-keshav-thackeray-bombay-strongman-explain-trump.html,1556,"Bal Keshav Thackeray, who rode to power on a wave of outrageous stories, bluster, bigotry and showmanship, might explain Donald J. Trump....",The New York Times,By SUKETU MEHTA,suketu mehta,2017-01-06T16:06:05+0000,na
586fb8b495d0e03926079598,https://www.nytimes.com/2017/01/06/opinion/elor-azaria-trial-frightening-truth-about-israeli-society.html,1224,Is the military the only thing standing between the rule of law and mob rule?...,The New York Times,By RONEN BERGMAN,ronen bergman,2017-01-06T15:33:04+0000,male
586fb81c95d0e03926079592,https://www.nytimes.com/2017/01/06/opinion/sunday/as-donald-trump-denies-climate-change-these-kids-die-of-it.html,1831,Droughts caused by global warming have left southern Africa starved for food....,The New York Times,By NICHOLAS KRISTOF,nicholas kristof,2017-01-06T15:30:29+0000,male
586fa92095d0e03926079564,https://www.nytimes.com/2017/01/06/opinion/lies-journalism-and-objectivity.html,512,"When should journalists say that a politician is lying? Rarely, but not too rarely....",The New York Times,By DAVID LEONHARDT,david leonhardt,2017-01-06T14:26:37+0000,male
586f538695d0e03926079490,https://www.nytimes.com/2017/01/06/opinion/the-age-of-fake-policy.html,807,Hyping the trivial obscures reality....,The New York Times,By PAUL KRUGMAN,paul krugman,2017-01-06T08:21:19+0000,male
586f538695d0e0392607948e,https://www.nytimes.com/2017/01/06/opinion/let-opioid-users-inject-in-hospitals.html,737,Providing safe rooms for drug users in clinical settings will enhance trust and treatment....,The New York Times,By TIM LAHEY,tim lahey,2017-01-06T08:21:19+0000,male
586f538795d0e03926079491,https://www.nytimes.com/2017/01/06/opinion/the-home-buying-decision.html,821,Choosing where you rest your head is a story of falling in love and knowing yourself....,The New York Times,By DAVID BROOKS,david brooks,2017-01-06T08:21:19+0000,male
586f537795d0e0392607948b,https://www.nytimes.com/2017/01/06/opinion/erasing-obama.html,849,The people who stand to lose most are Trump supporters....,The New York Times,By TIMOTHY EGAN,timothy egan,2017-01-06T08:21:02+0000,male
587148a395d0e0392607981a,https://www.nytimes.com/2017/01/07/public-editor/the-future-of-the-times-a-view-from-the-top.html,2267,Change is coming to The New York Times. What will it mean for readers? The public editor sat down with the executive editor to find out....,The New York Times,By LIZ SPAYD,liz spayd,2017-01-07T19:59:22+0000,female
5871485895d0e03926079819,https://www.nytimes.com/2017/01/07/opinion/sunday/how-we-fool-ourselves-on-russia.html,963,It is tempting to think that personal rapport can bridge this disconnect and that the art of the deal can unlock a grand bargain....,The New York Times,By WILLIAM J. BURNS,william j. burns,2017-01-07T19:58:10+0000,male
587147a195d0e03926079815,https://www.nytimes.com/2017/01/07/opinion/sunday/for-the-forgotten-african-american-dead.html,1572,Neglected black cemeteries deserve the same level of care that their Confederate counterparts get....,The New York Times,By BRIAN PALMER,brian palmer,2017-01-07T19:55:08+0000,male
5871451695d0e03926079810,https://www.nytimes.com/2017/01/07/opinion/sunday/vietnam-the-war-that-killed-trust.html,1923,"The legacy of the war still shapes America, even if most of us are too young to remember it....",The New York Times,By KARL MARLANTES,karl marlantes,2017-01-07T19:44:15+0000,male
587141db95d0e0392607980c,https://www.nytimes.com/2017/01/07/opinion/sunday/the-tea-party-and-the-art-of-the-mean-joke.html,1295,"What Andrew Breitbart, Sarah Palin and Donald Trump have in common....",The New York Times,By JONATHAN RABAN,jonathan raban,2017-01-07T19:30:30+0000,male
587141c995d0e03926079809,https://www.nytimes.com/2017/01/07/opinion/sunday/white-house-red-scare.html,901,All this talk about Reds makes Trump see red and gives Washington the blues....,The New York Times,By MAUREEN DOWD,maureen dowd,2017-01-07T19:30:15+0000,female
587141d595d0e0392607980b,https://www.nytimes.com/2017/01/07/opinion/sunday/what-the-muck-of-walden-pond-tells-us-about-our-planet.html,1165,Centuries of sediments deposited on the bottom of the pond made famous by Thoreau tell a story of pollution and climate change....,The New York Times,By CURT STAGER,curt stager,2017-01-07T19:30:15+0000,male
58d16ed195d0e02489b925b6,https://www.nytimes.com/2017/01/07/opinion/sunday/how-to-destroy-the-business-model-of-breitbart-and-fake-news.html,1808,Many companies don’t know that their ads are appearing next to abhorrent content. Tell them....,The New York Times,By PAGAN KENNEDY,pagan kennedy,2017-01-07T19:30:04+0000,na
5871293995d0e039260797e7,https://www.nytimes.com/2017/01/07/opinion/sunday/i-got-gay-married-i-got-gay-divorced-i-regret-both.html,964,Never have I fought so hard for a right that hurt me so much....,The New York Times,By MEREDITH MARAN,meredith maran,2017-01-07T17:45:22+0000,female
58705c7995d0e0392607972d,https://www.nytimes.com/2017/01/06/opinion/arms-and-the-trump.html,823,"Another day, another terrible shooting....",The New York Times,By GAIL COLLINS,gail collins,2017-01-07T03:11:49+0000,female
5870445095d0e03926079710,https://www.nytimes.com/2017/01/06/opinion/the-dangers-of-safety-equipment.html,1166,Can rugby tacklers teach N.F.L. players how to improve their behavior?...,The New York Times,By MICHAEL MUNGER,michael munger,2017-01-07T01:28:41+0000,male
587042d395d0e0392607970c,https://www.nytimes.com/2017/01/06/opinion/the-life-of-a-disabled-child-from-taunts-to-hate-crimes.html,895,Things have improved for intellectually disabled people like my brother. But a brutal attack in Chicago shows they still need our protection....,The New York Times,By MARGARET CARLSON,margaret carlson,2017-01-07T01:22:18+0000,female
5872cda395d0e039260799ab,https://www.nytimes.com/2017/01/08/opinion/heng-on-trumps-comments-about-north-korea.html,20,Donald Trump may not have long to wait before getting a fresh look at North Korean nuclear or missile technology....,The New York Times,,,2017-01-08T23:39:09+0000,na
5872c18f95d0e03926079995,https://www.nytimes.com/2017/01/08/opinion/can-african-union-save-south-sudan-from-genocide.html,1233,An African Union trusteeship might be the last option to save South Sudan from further mass violence....,The New York Times,By MAHMOOD MAMDANI,mahmood mamdani,2017-01-08T22:47:36+0000,male
58740ab495d0e03926079c8a,https://www.nytimes.com/2017/01/09/opinion/a-plea-for-fifth-avenue.html,845,"Traffic around Trump Tower is a mess, but there’s a fix: Turn the street into a pedestrian plaza....",The New York Times,By JANETTE SADIK-KHAN,janette sadik-khan,2017-01-09T22:11:58+0000,female
587393fc95d0e03926079b1f,https://www.nytimes.com/2017/01/09/opinion/the-betrayal-of-fiscal-conservatism.html,386,Few if any current Republican leaders care deeply about the deficit....,The New York Times,By DAVID LEONHARDT,david leonhardt,2017-01-09T13:45:28+0000,male
587354f295d0e03926079a98,https://www.nytimes.com/2017/01/09/opinion/narendra-modis-crackdown-on-civil-society-in-india.html,1117,His government is choking the finances of civil society groups working with the most vulnerable Indians....,The New York Times,By ROHINI MOHAN,rohini mohan,2017-01-09T09:16:24+0000,na
5873480e95d0e03926079a78,https://www.nytimes.com/2017/01/09/opinion/whos-really-placing-limits-on-free-speech.html,964,"At state schools, micromanaging legislators pose a much greater danger than political correctness....",The New York Times,By DONALD P. MOYNIHAN,donald p. moynihan,2017-01-09T08:21:23+0000,male
5873480d95d0e03926079a76,https://www.nytimes.com/2017/01/09/opinion/donald-trump-and-the-tainted-presidency.html,847,A hostile foreign power got its way....,The New York Times,By CHARLES M. BLOW,charles m. blow,2017-01-09T08:21:23+0000,male
587347f895d0e03926079a75,https://www.nytimes.com/2017/01/09/opinion/is-humanism-really-humane.html,2125,"The idea of the “human” has brought us human rights, but it’s not enough to ensure justice....",The New York Times,By NATASHA LENNARD and CARY WOLFE,natasha lennard and cary wolfe,2017-01-09T08:21:03+0000,multi
587347f695d0e03926079a72,https://www.nytimes.com/2017/01/09/opinion/deficits-matter-again.html,783,Why the Trump-Putin economy isn’t like Obama’s....,The New York Times,By PAUL KRUGMAN,paul krugman,2017-01-09T08:21:03+0000,male
5872df7c95d0e039260799c2,https://www.nytimes.com/2017/01/08/opinion/jeff-sessions-the-grim-reaper-of-alabama.html,856,"As the state’s attorney general, his main concerns were that Alabamians weren’t being executed fast enough, or for enough types of crimes....",The New York Times,By JOHN J. DONOHUE III and MAX SCHOENING,john j. donohue iii and max schoening,2017-01-09T00:55:11+0000,multi
58756d8a95d0e0392607a01e,https://www.nytimes.com/2017/01/10/opinion/seven-questions-about-health-reform.html,879,Vague promises are not enough when we are considering enormous changes in our $3 trillion medical economy....,The New York Times,By HAROLD POLLACK and TIMOTHY S. JOST,harold pollack and timothy s. jost,2017-01-10T23:25:54+0000,multi
5874ef7d95d0e03926079e58,https://www.nytimes.com/2017/01/10/opinion/can-donald-trump-and-raul-castro-make-a-good-deal.html,964,The agreements that the new administration will inherit serve the interests of the United States and Cuba....,The New York Times,By JORGE I. DOMÍNGUEZ,jorge i. domínguez,2017-01-10T14:28:05+0000,male
5874cf3495d0e03926079e01,https://www.nytimes.com/2017/01/10/opinion/streep-vs-trump-for-america.html,830,"Americans have been duped by a showman. But to unseat him, liberals must reckon with how they lost sight of their country....",The New York Times,By ROGER COHEN,roger cohen,2017-01-10T12:10:18+0000,male
5874998795d0e03926079d7b,https://www.nytimes.com/2017/01/10/opinion/1967-the-era-of-big-battles-in-vietnam.html,1362,"For American planners, 1967 was going to be the year that military might turned the tide in Vietnam. The Communists had other ideas....",The New York Times,By RON MILAM,ron milam,2017-01-10T08:21:21+0000,male
5874998895d0e03926079d7c,https://www.nytimes.com/2017/01/10/opinion/the-fight-for-health-care-has-begun.html,803,"Democrats are off to a decent start, but they can do more. So can you....",The New York Times,By DAVID LEONHARDT,david leonhardt,2017-01-10T08:21:19+0000,male
5874997295d0e03926079d76,https://www.nytimes.com/2017/01/10/opinion/russias-dnc-hack-was-only-the-start.html,857,"Unless we realize how vulnerable our democracy is, we are playing into the hands of foreign aggressors like Vladimir Putin....",The New York Times,By ROBBY MOOK,robby mook,2017-01-10T08:21:03+0000,male
5874997795d0e03926079d79,https://www.nytimes.com/2017/01/10/opinion/republican-hypocrisy-on-trumps-nominees.html,765,Mitch McConnell used to be demanding when it came to presidential nominees. How times have changed....,The New York Times,By ANDREW ROSENTHAL,andrew rosenthal,2017-01-10T08:21:03+0000,male
5874997595d0e03926079d77,https://www.nytimes.com/2017/01/10/opinion/bannon-versus-trump.html,822,The larger battle is over whether the Republican Party as a whole will become an ethno-populist party....,The New York Times,By DAVID BROOKS,david brooks,2017-01-10T08:21:03+0000,male
5876b7c795d0e0392607a373,https://www.nytimes.com/2017/01/11/opinion/ode-to-obama.html,820,You don’t know what you’ve got till it’s gone....,The New York Times,By CHARLES M. BLOW,charles m. blow,2017-01-11T22:54:57+0000,male
5876b2ba95d0e0392607a367,https://www.nytimes.com/2017/01/11/opinion/donald-trump-a-modern-manchurian-candidate.html,884,The onus is on the president-elect to prove he’s not Putin’s puppet....,The New York Times,By MAX BOOT,max boot,2017-01-11T22:33:21+0000,male
5876412795d0e0392607a1ed,https://www.nytimes.com/2017/01/11/opinion/the-view-from-russia.html,6,Vladimir V. Putin reflects on 2016....,The New York Times,By PATRICK CHAPPATTE,patrick chappatte,2017-01-11T14:28:45+0000,male
587629b395d0e0392607a1ba,https://www.nytimes.com/2017/01/11/opinion/assad-has-won-in-syria-but-syria-hardly-exists.html,964,"The president in Damascus is getting ready to declare victory over a decimated economy, a fractured state and a devastated people....",The New York Times,By DAVID W. LESCH and JAMES GELVIN,david w. lesch and james gelvin,2017-01-11T12:48:43+0000,multi
587622df95d0e0392607a1a4,https://www.nytimes.com/2017/01/11/opinion/old-labour-new-labour-no-labour.html,1291,Social democracy is dying in Britain....,The New York Times,By MATTHEW J. GOODWIN,matthew j. goodwin,2017-01-11T12:19:36+0000,male
5875ebe295d0e0392607a105,https://www.nytimes.com/2017/01/11/opinion/a-fix-for-gender-bias-in-health-care-check.html,1505,"At Johns Hopkins Hospital, a simple checklist virtually erased a disparity in treatment between men and women....",The New York Times,By JESSICA NORDELL,jessica nordell,2017-01-11T08:25:02+0000,female
5875eb0095d0e0392607a101,https://www.nytimes.com/2017/01/11/opinion/my-life-with-paralysis-its-a-workout.html,1373,I found that my daily routine is less subject to scrutiny if I simply describe it as health maintenance....,The New York Times,By VALERIE PIRO,valerie piro,2017-01-11T08:21:14+0000,female
5875eaff95d0e0392607a100,https://www.nytimes.com/2017/01/11/opinion/the-dark-magic-of-kellyanne-conway.html,792,Donald Trump’s cheeriest defender is a political wonder....,The New York Times,By FRANK BRUNI,frank bruni,2017-01-11T08:21:12+0000,male
5875eaf895d0e0392607a0fd,https://www.nytimes.com/2017/01/11/opinion/online-and-scared.html,872,A critical mass of our interactions has moved to a realm where we’re all connected but no one’s in charge....,The New York Times,By THOMAS L. FRIEDMAN,thomas l. friedman,2017-01-11T08:21:02+0000,male
5877e9a095d0e0392607a678,https://www.nytimes.com/2017/01/12/opinion/why-americans-care-about-trumps-tax-returns.html,972,"Unless he makes disclosures, rumor and scandal will dog his presidency....",The New York Times,By RON WYDEN,ron wyden,2017-01-12T20:39:55+0000,male
5877b89695d0e0392607a5ea,https://www.nytimes.com/2017/01/12/opinion/obama-hoped-to-transform-the-world-it-transformed-him.html,1619,"The president entered office with a vision for a cosmopolitan foreign policy. Then he encountered drones, Syria and a growing wave of illiberalism....",The New York Times,By ADAM SHATZ,adam shatz,2017-01-12T17:10:40+0000,male
5877aa8b95d0e0392607a5a7,https://www.nytimes.com/2017/01/12/opinion/trumps-business-separation-plan-does-nothing-of-the-kind.html,842,"It’s window dressing, meant to conceal his deepening conflicts of interest....",The New York Times,By RICHARD W. PAINTER,richard w. painter,2017-01-12T16:10:48+0000,male
5877a2be95d0e0392607a58f,https://www.nytimes.com/2017/01/12/opinion/the-us-must-talk-to-north-korea.html,1005,Bilateral diplomacy is the best way for the Trump administration to limit the growing nuclear threat....,The New York Times,By SIEGFRIED S. HECKER,siegfried s. hecker,2017-01-12T15:37:24+0000,na
58778bf095d0e0392607a53c,https://www.nytimes.com/2017/01/12/opinion/mr-trump-we-need-an-answer.html,248,He needs to address questions about his campaign’s involvement with Russia’s effort to influence the election....,The New York Times,By DAVID LEONHARDT,david leonhardt,2017-01-12T14:00:12+0000,male
5877612c95d0e0392607a4bf,https://www.nytimes.com/2017/01/12/opinion/does-israel-really-have-a-corruption-problem.html,888,The prime minister is (once again) investigated for graft. Israelis shrug....,The New York Times,By SHMUEL ROSNER,shmuel rosner,2017-01-12T10:57:45+0000,male
58773c8c95d0e0392607a45b,https://www.nytimes.com/2017/01/12/opinion/i-abstained-from-sex-for-a-year-to-donate-blood.html,843,The F.D.A.’s policy for men who have sex with men is outdated and should be rescinded....,The New York Times,By JAY FRANZONE,jay franzone,2017-01-12T08:21:20+0000,male
58773c8c95d0e0392607a45c,https://www.nytimes.com/2017/01/12/opinion/when-backpagecom-peddles-schoolgirls-for-sex.html,827,The authorities are making progress in restricting a website as a medium for sex trafficking....,The New York Times,By NICHOLAS KRISTOF,nicholas kristof,2017-01-12T08:21:20+0000,male
58773c7595d0e0392607a45a,https://www.nytimes.com/2017/01/12/opinion/silicon-valley-takes-a-right-turn.html,1467,"Microsoft, Facebook, Google and Amazon used their PACs to support Republican Congressional candidates more than Democratic ones in 2016....",The New York Times,By THOMAS B. EDSALL,thomas b. edsall,2017-01-12T08:21:03+0000,male
5876de0295d0e0392607a3bb,https://www.nytimes.com/2017/01/11/opinion/trump-sex-and-lots-of-whining.html,795,Meet the luckiest victim in the world....,The New York Times,By GAIL COLLINS,gail collins,2017-01-12T01:37:58+0000,female
58d14ada95d0e02489b9249c,https://www.nytimes.com/2017/01/13/opinion/sunday/ivanka-trumps-dangerous-fake-feminism.html,1201,She is selling us traditional femininity and support of male power in a feminist bow....,The New York Times,By JILL FILIPOVIC,jill filipovic,2017-01-13T20:16:52+0000,female
5878f5d595d0e0392607a93c,https://www.nytimes.com/2017/01/13/opinion/sunday/the-real-problem-with-hypocrisy.html,790,The reason you dislike it may come as a surprise....,The New York Times,"By JILLIAN JORDAN, ROSEANNA SOMMERS and DAVID RAND","jillian jordan, roseanna sommers and david rand",2017-01-13T15:44:12+0000,multi
5878db8495d0e0392607a8e0,https://www.nytimes.com/2017/01/13/opinion/donald-trump-washington-russia.html,6,Roll up for the mystery tour....,The New York Times,By PATRICK CHAPPATTE,patrick chappatte,2017-01-13T13:51:57+0000,male
5878ccb695d0e0392607a8b3,https://www.nytimes.com/2017/01/13/opinion/twitter-must-do-more-to-block-isis.html,859,The militant group uses the platform as a tool of terrorism....,The New York Times,By ANNE CAMERON CAIN and BEATRIZ GONZALEZ,anne cameron cain and beatriz gonzalez,2017-01-13T12:48:47+0000,multi
5878c75995d0e0392607a8a7,https://www.nytimes.com/2017/01/13/opinion/trumps-pivotal-russian-test.html,788,Hurtling into a love fest with Putin would be calamitous. Russia responds to toughness and Trump must show it or NATO and the E.U. could unravel....,The New York Times,By ROGER COHEN,roger cohen,2017-01-13T12:25:56+0000,male
58788e0b95d0e0392607a809,https://www.nytimes.com/2017/01/13/opinion/sunday/big-sugars-secret-ally-nutritionists.html,1141,The scientific consensus that all calories are equally fattening is outdated and dangerous....,The New York Times,By GARY TAUBES,gary taubes,2017-01-13T08:21:23+0000,male
58788e0b95d0e0392607a808,https://www.nytimes.com/2017/01/13/opinion/forget-a-wall-theres-a-better-way-to-secure-the-border.html,808,"Physical barriers won’t do the job, but recent agreements allowing armed U.S. customs agents to screen travelers and cargo in Canada and Mexico will....",The New York Times,By STEPHEN R. KELLY,stephen r. kelly,2017-01-13T08:21:23+0000,male
58788e0095d0e0392607a807,https://www.nytimes.com/2017/01/13/opinion/donald-trumps-medical-delusions.html,804,Magical thinking won’t work on health care....,The New York Times,By PAUL KRUGMAN,paul krugman,2017-01-13T08:21:01+0000,male
